utterance,intent
임신해서 우울해,우울감
아이 가지고 나서 우울해,우울감
아이 가졌는데 기분 하나도 안 좋고 울적해,우울감
임신했는데 남편이 하나도 안 챙겨줘서 우울하다,우울감
진단 결과 안 좋게 나올 것 같아서 우울해,우울감
먹고 싶은 거 못 먹어서 우울해,우울감
하고 싶은 거 못 해서 이렇게 우울할 수가 없어,우울감
술을 못 마시면 이렇게 우울해지는 구나,우울감
술 못 마시니까 진짜 우울하다,우울감
남편이 안 챙겨주니까 우울해지는 것 같아,우울감
남편이 안 챙겨줘서 진심 우울해요,우울감
살이 안 빠져서 우울해,우울감
노산이라 우울해요,우울감
대화가 안 통해서 우울한 것 같아,우울감
경력이 단절된다는 생각만 하면 우울한 것 같아요,우울감
대화가 안 통하니까 우울하잖아,우울감
오늘 상담 받고 와서 우울해요,우울감
유도 실패해서 개 우울해,우울감
재검 해야 한다고 해서 기분이 안 좋아,우울감
원인은 모르겠는데 자꾸 꿀꿀해,우울감
기분이 계속 가라앉아서 땅 속에 꺼진 느낌이야,우울감
별 일 없는데도 우울한 기분이 계속 돼,우울감
대체적으로 매일매일 우울해,우울감
밤에 특히 더 우울하다,우울감
우울하니까 물건도 집어 던져,우울감
우울한 상태에서 나도 모르게 화를 내버려,우울감
계속 우울해서 술 마셨어,우울감
왜 그런지 맨날 울어,우울감
혼자 있으면 더 우울해,우울감
혼자가 되면 우울해지는 것 같아,우울감
우울해서 담배 찾아,우울감
우울하면서 머리가 짓눌러지는 것 같은 느낌이 들어,우울감
혼자 있으면 꿀꿀해,우울감
오빠가 직장에 있으면 꿀꿀해지는 것 같아,우울감
아침에 눈뜨면 진짜 우울한 것 같아,우울감
우울하니까 눈물 나고..,우울감
착잡하니까 울고 싶고 그래,우울감
우울하고 착잡하니까 아무것도 못하겠어,우울감
혼자만 되면 왜 이렇게 우울해지는지,우울감
괜히 우울하니까 다른 일이라도 막 찾아서 해,우울감
우울해서 이대로 내가 없어질 것 같아,우울감
우울하니까 내가 이상해지는 것 같아,우울감
우울증 때문에 죽고 싶어,우울감
우울감이 너무 심해,우울감
우울증 진짜 너무 심각하다,우울감
우울증 개 심해,우울감
그냥 우울증 환자 같아,우울감
완전 우울을 달고 살아,우울감
우울한 게 통제가 안 돼,우울감
우울한 게 통제가 안 되요,우울감
우울해 죽고 싶어요,우울감
우울해서 힘드네,우울감
