utterance,intent
12시 땡!,일상
1지망 학교 떨어졌어,일상
3박4일 놀러가고 싶다,일상
3박4일 정도 놀러가고 싶다,일상
PPL 심하네,일상
SD카드 망가졌어,일상
SD카드 안돼,일상
SNS 맞팔 왜 안하지,일상
SNS 시간낭비인 거 아는데 매일 하는 중,일상
SNS 시간낭비인데 자꾸 보게됨,일상
SNS보면 나만 빼고 다 행복해보여,일상
가끔 궁금해,일상
가끔 뭐하는지 궁금해,일상
가끔은 혼자인게 좋다,일상
가난한 자의 설움,일상
가만 있어도 땀난다,일상
가상화폐 쫄딱 망함,일상
가스불 켜고 나갔어,일상
가스불 켜놓고 나온거 같아,일상
가스비 너무 많이 나왔다.,일상
가스비 비싼데 감기 걸리겠어,일상
가스비 장난 아님,일상
가장 확실한 건 뭘까?,일상
가족 여행 가기로 했어,일상
가족 여행 고고,일상
가족 여행 어디로 가지?,일상
가족 있어?,일상
가족관계 알려 줘,일상
가족끼리 여행간다.,일상
가족들 보고 싶어,일상
가족들이랑 서먹해,일상
가족들이랑 서먹해졌어,일상
가족들이랑 어디 가지?,일상
가족들이랑 여행 갈거야,일상
가족여행 가야지,일상
가족이 누구야?,일상
가족이랑 여행 가려고,일상
가족한테 스트레스 풀었어,일상
가출할까?,일상
가출해도 갈 데가 없어,일상
간만에 떨리니까 좋더라,일상
간만에 쇼핑 중,일상
간만에 휴식 중,일상
간식 뭐 먹을까,일상
간식 추천,일상
간장치킨 시켜야지,일상
간접흡연 싫어,일상
갈까 말까 고민 돼,일상
갈까 말까?,일상
감 말랭이 먹고 싶다.,일상
감 말랭이 먹어야지,일상
감기 같애,일상
감기 걸린 것 같아,일상
감기 기운이 있어,일상
감기 들 거 같애,일상
감기가 오려나,일상
감기약이 없어,일상
감기인거 같애,일상
감미로운 목소리 좋아,일상
감정이 쓰레기통처럼 엉망진창이야,일상
감정컨트롤을 못하겠어,일상
감정컨트롤이 안돼,일상
감히 나를 무시하는 애가 있어,일상
갑자기 나쁜 생각이 막 들더라,일상
갑자기 눈물 나,일상
갑자기 물어봐서 당황했어,일상
갑자기 불편한 사이가 된 거 같아,일상
강렬한 첫인상 남겨야 하는데,일상
강아지 키우고 싶어,일상
강아지 키우고 싶은데 역시 안돼겠지,일상
강아지 키울 수 있을까,일상
강아지 키울까,일상
강원도 가서 살까?,일상
같이 게임하자고 해도 되나?,일상
같이 놀러갈 친구가 없어,일상
같이 먹었는데 나만 살찐 거 같아,일상
같이 수영장 가기로 했어,일상
같이 있으면 힘든데 붙잡고 싶어,일상
같이 피씨방 가자고 해볼까?,일상
같이 할 수 있는 취미 생활 뭐 있을까,일상
개강룩 입어볼까,일상
개강옷 예쁘게 입어 볼까,일상
개강이다,일상
개강이라니,일상
개같은 상황,일상
개같이 되버렸어.,일상
개기름 꼈어,일상
개념도 놓고 옴,일상
개념이 없어,일상
개당황,일상
개당황했잖아 갑자기 물어 봐서,일상
개인적인 업무까지 다 시켜,일상
개인적인 일도 다 시켜,일상
개졸려,일상
개좋아,일상
개학하니까 좋다,일상
걔 너무 싫다,일상
걔는 누굴 닮아서 그런거니?,일상
걔랑 같은 반 됐으면 좋겠다,일상
거지 같이 일해 놓고 갔어,일상
거지됐어,일상
거짓말 했어,일상
거짓말을 나도 모르게 자꾸 해,일상
거짓말을 하게 돼,일상
거짓말이 거짓말을 낳아,일상
걱정 없이 살고파,일상
걱정 좀 없이 살고 싶다.,일상
건강 관리,일상
건강 빨리 회복해야지,일상
건강검진 왔어,일상
건강검진하러 옴,일상
건강이 최고,일상
건강이 최고인 것 같아,일상
건강하게 다이어트 하는 방법,일상
건강한 다이어트법,일상
건너건너 아는 사람인데 연락해도 될까?,일상
건물주 되고싶어,일상
건물주가 짱인데,일상
건방져,일상
건조기 살까봐,일상
건조하네,일상
걸레질도 해야 돼,일상
걸어 가고 있는데 깜깜해서 무서워,일상
겁난다,일상
게으른 동료가 있어,일상
게임 같이 하자고 할까?,일상
게임 때문에 시간 다갔어,일상
게임 때문에 폰이 점점 느려지는듯,일상
게임 재미있어.,일상
게임 지겨워,일상
게임도 이제 재미없어,일상
게임하고 싶어,일상
게임하다 시간 다갔어,일상
겨울 지나 봄이야,일상
겨울에는 온천이지!,일상
겨울이 가고 봄이 올거야,일상
격려 좀 해줘,일상
격려가 필요해.,일상
견과류 챙겨 먹어야지.,일상
결국 이런 운명이라니 슬프다,일상
결정 못하겠어.,일상
결정은 빠르면 빠를 수록 좋겠지?,일상
결정은 빠를수록 좋겠지?,일상
결정을 못 내리겠어. 어떻해,일상
결정적인 물증이 없어,일상
결혼 했는데.,일상
결혼 했어,일상
결혼도 다 돈이다.,일상
결혼식 가기 귀찮아,일상
결혼식 또 가야돼,일상
결혼식때 하객이 없을 까봐 걱정돼,일상
결혼식이 너무 많아,일상
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,일상
결혼준비 돈 많이 들겠지,일상
