utterance,intent
확 뛰어내리면 다 끝나지 않을까?,자살충동
죽어도 아무도 모르겠지,일상
혼자 있으면 안 좋은 사고가 벌어질 거 같아요,불안
시술로 늘어난 피부를 없앤다고?! 쩐다!,일상
올초에 그게임 만든 회사 주식이 10배가 올랐어요,일상
1년은 기본이다 이거야,일상
"이사한지 7개월인데 너무 춥고, 외로워지는 것 같아요.",외로움
쇠약해져서 그런지 뭘 할 생각도 안 들어,불면
진짜로 원통해서 마음에,슬픔
언제부터인가 약을 안 먹으면 잠을 못자게 된 것 같아.,불면
입덧 때문에 삶이 괴로워,무기력
뒤척거리는 게 심해,불면
무섭고 힘들어서 혼자 못 자요,불안
그런 친구 아니었는데 너무 귀찮게 하네,일상
불안병 고치고 싶은데 고칠 수 없을까,불안
잠 못 잔 지 거의 몇 년 됐지.,불면
낯선 사람들 틈에 있으면 걱정이 더 많아지는 거 같아,초조함
밥맛 없는 이유를 모르겠어요,식욕저하
핸드폰 소액결제 엄청 나왔어,일상
육아도 저 혼자해서 더 외롭고 집안일도 하기 싫어요.,외로움
친정에 가도 밥맛이 안 생기는 것 같아,식욕저하
억울해서 떼라도 쓰고 싶어,죄책감
새로운 일 벌려도 될까,일상
애들이 애 아빠 보고 싶어 할 때는 마음 아프고.,죄책감
진짜 너무 힘들어서 아침에 눈 뜰 때마다 그냥 확 죽어 버리고 싶어요.,자살충동
병원에서 자면 특히 조각잠을 자게 돼,불면
그렇게 울어도 속이 시원해지지 않아,슬픔
그래서 그냥 꾹 참아보려고 했는데 아무래도 잘 안 되네. 너무 힘들어.,무기력
남편은 돈도 안 벌어오고 나도 능력도 없고 이런 인생이 너무 한심스럽네,자존감저하
진짜 짜증나고 분하고 억울해.,슬픔
사표 던지고 나오고 싶어,일상
얼굴이 완전 반쪽 됐어,식욕저하
많이 먹는 편인 건 아닌데 어쩌다 한번 많이 먹어.,식욕증가
기능 좀 알려줘봐봐,일상
다시 예전으로 돌아가고 싶어져요,슬픔
지금 당장이라도 다 던져버리고 도망가고 싶어요.,무기력
애기 아빠 때문에 너무 혼란스러워,초조함
핸드폰을 확인해도 아무런 연락이 없으면 더 쳐지는 것 같아요.,외로움
남편이 너무 원망스러워요. 왜 그런 약은 사다줘서,분노
심하게 피로하고 몸이 천근만근이야,피로
와 그건 처음 듣는 소식인걸?,일상
누가 나를 압박하는 것만 같고,불안
갈수록 쇠약해지는 것 같아서 걱정이야,불면
오빠때문에 짜증나서 살만 쪄,식욕증가
몸이 심하게 처져서 평소에 잘 하던 것들도 못 하겠어,피로
죽을 만큼 분해,슬픔
나 왜 이러지?,일상
내가 좀만 빨리 휴직했어도 이렇게 일이 나빠지진 않았을 텐데,죄책감
식욕이 엄청 떨어졌어.,식욕저하
성공할 수 있을까?,일상
날이 갈면 갈수록 더 이렇게 재미가 없을까,무기력
면도하기 귀찮,일상
"밥먹을 힘도 없고, 두유로 때울때가 많아.",식욕저하
잠 푹 잔 지 엄청 오래 됐어,불면
남편이 상처되는 말만 하니까 내가 쓸모 없는 사람처럼 느껴지더라,자존감저하
베란다도 꾸미니까 예쁘더라.,일상
노력에 비해 많이 빠지지 않는것 같아서 심적으로 힘들었어.,무기력
밥벌이 뭐하나,일상
내가 몸 관리를 못 한 거 같아서 죄책감이 생겨,죄책감
분노와 동정이 같이 들어,분노
안사람이 잔소리를 하면 화부터 나요.,분노
처음 해외로 갔을 때는 한국이 많이 그리웠어.,슬픔
폭풍 먹방했더니 졸려,일상
죽어야 이 고통이 끝날 것 같아서 그래요.,무기력
한 잔 하고 싶다,일상
약먹으니까 너무 멍해지더라고.,우울감
인생이 하찮다,절망감
그런데 계속 속이 울렁거리고 안정이 안 되는 거예요.,식욕저하
자존감 어떻게 올려?,일상
핸들을 잡으면 또 같은 증상이 올까 봐 불안해요.,초조함
괜히 다쳐가지고,죄책감
이게 동성애인지 단순한 동경인지 잘 모르겠어.,초조함
얼마나 떨었는지 등이 축축하더라니까.,초조함
무력감 때문에 괴롭다,상실감
단 하나뿐인 소중한 친구라고 생각했는데 배신을 당했어.,죄책감
옆에 누가 서있으면 무서워,불안
아무 이유 없이 좌절감이 느껴져,절망감
물 많이 마시라고 했는데,일상
몸무게가 주니까 계속 주워먹어,식욕저하
안마시면 잠이 안 올 정도야.,불면
다 내가 못나서 생긴 망상 같아서 너무 속상해.,자존감저하
겨울에 체중이 확 늘어요,식욕증가
후회돼서 미치겠어,슬픔
"조금만 움직여도 피로가 금방 느껴지니까, 생활 반경이 작아지는 게 느껴져요.",피로
가면 매일 놀림받고 울고,슬픔
멍 때리다 보면 시간이 훅 가버리는 것 같아,우울감
근데 뭔가 억울하잖아요.,슬픔
증거도 없으면서 나만 의심해,일상
임신하고 남편한테 버림 받으니까 내 인생이 쓸모 없이 느껴졌어,절망감
이렇게 알바만 하다가 서른 살이 되면 어떡하지?,초조함
남편 사업 망한 것 때문에 너무 절망적인 것 같아요,슬픔
생강차 끓여 먹어야겠다,일상
올 화장품도 좋지!,일상
매일 밤마다 불안하고 이불 뒤척이는 소리에도 초조했어.,불안
비 오는 날 데이트,일상
맨날 배달음식 시켜먹어서 남편한테 미안하고 죄책감 들어,슬픔
계속 이런 걱정을 하다 보니까 그냥 막연히 모든 게 다 불안하고.,초조함
나 혼자 있는 게 지독하게 외로워.,외로움
뭘 해도 기분이 올라오지 않아,초조함
가족들때문에 성격이 과민해졌어,식욕저하
게임 잘 못해서...,일상
처음보는 브랜드도 있었어.,일상
마음 잡고 고고씽,일상
즐겁게 웃다가도 바로 눈물 줄줄,슬픔
안절부절못해서 가만히 앉아서 책도 못 보겠어,초조함
아이돌이 남친이면 좋을텐데,일상
힘이 쭉 사라진 것 같아,불면
3개월전부터 너무 초조하고 불안해졌어.,초조함
"주변에 아무 일도 없는데, 괜히 뭔가 불안하고 초조한 느낌?",불안
라면 먹을래,일상
그런 거 보면 너무 자괴감 들어요.,죄책감
재밌게 해줘,일상
장학금 받으려면 독하게 해야돼,일상
태어나서 이렇게 힘들었던 적은 없었어요. 절망적이더라구요.,절망감
내가 할 수 없는 일이라는 생각이 들면서 불안해지고,불안
월요일부터 너무 집중이 안 되네,집중력저하
소파랑 거의 한몸이야,불면
정상 체중보다 한참 넘었는데 이유를 모르겠어,식욕증가
비참한 일만 생겨,슬픔
막말이 제일 나빠,일상
몸이 너무 심하게 처지는 느낌인데,피로
과외비 비싸?,일상
한 번 그러고 나니까 정말 너무 걱정 돼.,초조함
자꾸 브라에 묻어서 짜증나,초조함
나 그동안 뭐한거니,일상
"죽고 싶은 마음은 있는데, 진짜로 죽고 싶은 건 아니에요.",자살충동
