utterance,intent
또 먹어? 많이도 먹네 하하,일상
마음이 힘드니까 잠을 못 자게 된 것 같아,우울감
나만 꿈이 없는 거 같아서 외로움.,외로움
힘이 없어서 아무것도 안 하게 돼,피로
니가 잘못했네 키키,일상
수년간 20킬로는 쪘을걸?,식욕증가
문득 지금 죽어야겠다는 생각이 떠올랐어요.,자살충동
애 준비해서 유치원도 보내야 하는데 다 귀찮고,무기력
키키 대화 불가능,일상
나도 저 말이 제일 싫더라 키키,일상
헐... 맞아 해외여행 못 가니까 많이 취소하더라,일상
배달닫앗음거긴,일상
거기 개조했으면,일상
요새 놀면뭐하니가 무도화 될 것 같던데,일상
주변에 사는 아이들이 너무 불쌍해,일상
옷장 정리도 귀찮아서 한꺼번에 몰아서 해요.,무기력
근데 엄마 장민호도 꽤 좋아하지 않아?,일상
나도 하나에 꽂히면 그 영상만 찾아봐,일상
학교에서 선생님 말은 잘 듣는지..친구들이랑 사이는 좋은지밥을 잘 챙겨먹는지..온갖게 다 걱정이야.,초조함
일부러 맛있는 거 먹으러 갔는데도 몇 숟갈 못 먹고 다 남겼어요.,식욕저하
남편까지 그러니까 마음이 무너져내리는거야,절망감
나 취중진담 노래 많이 좋아했었다,일상
이 세상에 그런 여우는 또 없을 거야.,분노
집 사고 싶어 너희처럼,일상
나는 왜이렇게 당하고도 또 당하지,죄책감
살이 너무 불어서 걱정이다,식욕증가
웃으면서 애매하게 말하니까 다른 사람들은 모르는게 제일 답답하다,초조함
육지 가지 않을까? 키키,일상
해피오더도 3만원 할인되고 1번이지만,일상
평소 입꼬리 올라간 사람들이 부러웠던 거야?,일상
우울해서 하루 종일 잠만 잘 때도 있어,우울감
그냥 맛있는 거 먹고 운동을 하셈 키키,일상
그 소리가 정말 어휴,일상
알려나?,일상
응 거기 나오는 여주인공,일상
근데 12월에 생일까지 겹쳐서 힘들다 키키,일상
많이 피지 키키,일상
프랑스에서는 백신 맞은 사람은 여행이 가능해,일상
헐 키키 대박 오빠가 찬 거 아니야?,일상
큰 이상은 없다는 말을 듣고 나니 힘이 쭉 빠져,피로
식사 양이 줄어서 눈물 나,식욕저하
애를 쓰면 쓸수록 왜 더 상황이 안 좋아지는 걸까?,죄책감
사람들 엄청 많지 않아?,일상
진짜 너무 눈물나고 억울하고 그런데 애 상대로 뭘 하나 싶더라.,슬픔
하긴. 너보다 더 많았음 그게 더 불편했겠다.,일상
남편이 모임에 가면 입 열지 말라고 째려보고 눈치를 주니까 자존감이 자꾸 떨어져,자존감저하
날 거 먹을 때 조심해 탈 난다,일상
그런 거 많이 공유해주잖아,일상
키키 로또 되면 정말 서울 벗어나서 땅 사서 집 짓는 게 더,일상
번거롭고 안되는 일을 되게 해주라네...,일상
바빠서 그런지 살이 빠지는 것 같아,식욕저하
나는 알로에 듬뿍 바르고 잠 꿀팁이야!,일상
정직원이 되는 일이 있는지는 잘 모르겠어,일상
맞아맞아 왜 섭종했더라?,일상
진짜 세상에 무서운 사람 많다.,일상
사회는 전쟁이야 너무,일상
어차피 이미지 변신이라면 두번째 머리 추천,일상
애랑 같이 있을 때면 내 신경은 온통 아이한테 가서 되게 예민해지거든.,초조함
이제 애 엄마가 될 생각하니까 막 우울하고 무력해지는 것 같아,우울감
딱히 문제되는 음식은 아닌데 왜그러지?,일상
밤마다 벼랑 끝에 서는 느낌입니다,불안
좋지 어디로 갈까?,일상
한 삼주 됐나? 아침에 눈이 잘 떠져,일상
임신성 당뇨라는 얘기를 들으니까 너무 안절부절못하겠어,초조함
"그래서 도로에 뛰어들까, 옥상에서 뛰어내릴까 한참 고민하고",자살충동
응 맞아 기억나는 게 아담스미스 보이지 않는 손 키키,일상
알바가다가 본 거 같아 !,일상
나는 정기적으로 받고 있어서 작년에 이미 했어!,일상
난 트로트는 부모님 세대만 듣는 거라고 생각했거든.,일상
대낮에도 강도가 든다고 그래서 너무 걱정이 되는 거예요.,초조함
속은 내가 멍청했어,죄책감
잠자리 설치는 것도 다 회사 때문이야,불면
인삼공사 프로 농구단이구나?,일상
스트레스가 심했겠구나,일상
그런데 사고 후부터 무기력해졌어.,무기력
오빠가 저한테 그랬어요. 엄청 착하거든요. 그래서 더 짜증났어요.,초조함
그때는 유서를 쓰고 아파트 옥상에 올라가기도 했어.,자살충동
얼굴이 완전 반쪽 됐어,식욕저하
신랑이랑 의견차이가 생길 때 그렇게 외롭고 왜 사나.. 싶었어,외로움
"고민이 많아지니까 불안하고, 초조하더라구요.",초조함
집이 답답해서 잠도 조금 자고 깨요,불면
아 그냥 연유라떼랑 아메로 했다 키키,일상
꿈꾸면서 헛소리만 하는 것 같아,불면
벅수 똥 싸야 되는데...,일상
계속 못 자서 정신을 못 차리겠어,불면
직장 잘리고 집에 있으니까 내가 너무 쓸모 없는 인간처럼 느껴졌어,절망감
어제 늦게 잤더니 몸이 처져,피로
